game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
3335178,2696,0,15,Andrey Talalaev,121,2,6,Kirill Novikov,Away,0
3335188,964,2,1,Sergey Semak,1083,1,5,Valeriy Karpin,Away,1
3376125,32548,1,,Sergey Shishkin,12431,3,,Mikhail Semenov,Away,0
3376130,23110,0,,Igor Lazarev,11135,2,,Oleg Sinelobov,Away,0
3388675,11,2,,Mikel Arteta,350,1,,Chris Wilder,Away,1
3393087,2553,1,8,Alex Dyer,903,2,2,Jack Ross,Away,0
3393779,2999,2,12,Brian Rice,370,4,5,Derek McInnes,Away,0
3393783,370,0,6,Derek McInnes,371,1,2,Neil Lennon,Away,0
3393965,1041,1,14,Rudi Garcia,969,2,5,Michel Der Zakarian,Away,0
3394578,2969,1,19,Stéphane Jobard,1041,4,9,Rudi Garcia,Away,0
3394583,1041,0,11,Rudi Garcia,40,0,10,Jean-Louis Gasset,Away,0
3394594,1420,1,11,Stéphane Moulin,969,4,3,Michel Der Zakarian,Away,0
3394603,583,2,7,Thomas Tuchel,1421,0,19,David Guion,Away,1
3394634,667,3,18,Thierry Laurey,3911,0,15,Olivier Dall'Oglio,Away,1
3394670,1041,1,5,Rudi Garcia,1420,0,11,Stéphane Moulin,Away,1
3394683,995,1,14,Christian Gourcuff,244,3,2,André Villas-Boas,Away,0
3394699,1041,1,3,Rudi Garcia,583,0,4,Thomas Tuchel,Away,1
3394701,969,3,5,Michel Der Zakarian,826,2,6,Franck Haise,Away,1
3394717,969,2,6,Michel Der Zakarian,3911,2,11,Olivier Dall'Oglio,Away,0
3394753,244,0,4,André Villas-Boas,2969,0,18,David Linarès,Away,0
3394767,667,1,15,Thierry Laurey,2969,1,19,David Linarès,Away,0
